Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage, ErrorStatus, ErrorCode, ErrorSource
07:43:29.636 PM 04/16/2015,Teleop Enabled,0.000000,9.000000,12.700000,0.187151,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.500000,TRUE,-0.300000,3.125000,TRUE,TRUE,ResetForward,Disabled,FALSE,FALSE,0.000000,TRUE,-44003.000000,WPI_CameraIssue HTTP Request with Authentication.vi>>WPI_CameraIssue Get.vi>>WPI_CameraSet Image Appearance Property.vi>>WPI_CameraSet Image Size.vi>>Vision Processing.vi>>Robot Main.vi
<time>Thu 16 Apr 2015 07:43:27 PM EDT<unique#>20
07:43:29.736 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.700000,0.214789,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.750000,TRUE,0.300000,0.000000,TRUE,FALSE,ResetBack,Disabled,FALSE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:43:29.837 PM 04/16/2015,Teleop Enabled,0.000000,18.000000,12.650000,0.204477,-0.000000,0.000000,0.000000,0.000000,0.000000,1.250000,TRUE,0.300000,4.250000,TRUE,FALSE,ResetBack,Disabled,FALSE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:43:29.937 PM 04/16/2015,Teleop Enabled,0.000000,19.000000,12.600000,0.200553,-0.000000,0.000000,0.000000,0.000000,0.000000,1.500000,TRUE,0.300000,3.500000,TRUE,FALSE,ResetBack,Disabled,FALSE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:43:30.038 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.600000,0.199247,-0.000000,0.000000,0.000000,0.000000,0.000000,1.500000,TRUE,-0.012250,3.750000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:43:30.138 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.205054,-0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,TRUE,-0.032500,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:43:30.238 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.205037,-0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,TRUE,-0.042500,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:43:30.338 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.750000,0.201274,-0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,TRUE,-0.052500,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:43:30.438 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.750000,0.194664,-0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,TRUE,-0.062500,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,FALSE,0.000000,NO ERROR
