Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage, ErrorStatus, ErrorCode, ErrorSource
08:33:36.303 PM 04/14/2015,Teleop Enabled,0.000000,14.000000,12.450000,0.501341,-0.000000,0.000000,0.000000,0.000000,441.750000,476.000000,FALSE,0.000000,10.375000,TRUE,TRUE,ManualControl,Disabled,TRUE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:36.403 PM 04/14/2015,Teleop Enabled,0.000000,15.000000,11.750000,0.479589,-0.000000,0.000000,0.000000,0.039270,441.750000,497.000000,FALSE,-0.650000,10.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:36.503 PM 04/14/2015,Teleop Enabled,0.000000,17.000000,12.600000,0.436211,-0.000000,0.000000,0.000000,0.000000,441.750000,456.250000,FALSE,-0.422250,12.125000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:36.604 PM 04/14/2015,Teleop Enabled,0.000000,18.000000,12.500000,359.787430,-0.000000,0.000000,0.000000,0.000000,441.750000,423.500000,FALSE,0.554750,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,17.250000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:36.704 PM 04/14/2015,Teleop Enabled,0.000000,13.000000,12.150000,359.773549,-0.000000,0.000000,0.000000,0.078540,441.750000,438.500000,FALSE,0.147000,8.500000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.468750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:36.804 PM 04/14/2015,Teleop Enabled,0.000000,16.000000,12.400000,359.741085,-0.000000,0.000000,0.000000,0.000000,441.750000,451.500000,FALSE,-0.228000,9.625000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.843750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:36.905 PM 04/14/2015,Teleop Enabled,0.000000,13.000000,12.350000,359.758787,-0.000000,0.000000,0.000000,0.000000,441.750000,440.250000,TRUE,0.112750,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:37.005 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.400000,359.757266,-0.000000,0.000000,0.000000,0.039270,441.750000,437.000000,TRUE,0.197500,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.750000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:37.105 PM 04/14/2015,Teleop Enabled,0.000000,18.000000,12.400000,359.754241,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.085250,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.750000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:37.205 PM 04/14/2015,Teleop Enabled,0.000000,15.000000,12.400000,359.749080,-0.000000,0.000000,0.000000,0.000000,441.750000,442.250000,TRUE,0.073500,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.718750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:37.305 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.400000,359.754634,-0.000000,0.000000,0.000000,0.039270,441.750000,442.250000,TRUE,0.068500,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.718750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:37.405 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.350000,359.758476,-0.000000,0.000000,0.000000,0.000000,441.750000,442.250000,TRUE,0.063500,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.718750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:37.505 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.350000,359.757628,-0.000000,0.000000,0.000000,0.000000,441.750000,442.250000,TRUE,0.058500,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.718750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:37.605 PM 04/14/2015,Teleop Enabled,0.000000,18.000000,12.350000,359.747768,-0.000000,0.000000,0.000000,0.039270,441.750000,442.250000,TRUE,0.053500,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.718750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:37.705 PM 04/14/2015,Teleop Enabled,0.000000,18.000000,12.350000,359.739253,-0.000000,0.000000,0.000000,0.000000,441.750000,442.250000,TRUE,0.048500,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.718750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:37.806 PM 04/14/2015,Teleop Enabled,0.000000,14.000000,12.350000,359.749955,-0.000000,0.000000,0.000000,0.000000,441.750000,442.250000,TRUE,0.043500,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.718750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:37.906 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.350000,359.749289,-0.000000,0.000000,0.000000,0.000000,441.750000,442.250000,TRUE,0.038500,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:38.006 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.350000,359.753496,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.055250,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:38.106 PM 04/14/2015,Teleop Enabled,0.000000,15.000000,12.400000,359.744975,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.058250,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:38.207 PM 04/14/2015,Teleop Enabled,0.000000,17.000000,12.400000,359.748277,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.060750,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.718750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:38.307 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.350000,359.755602,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.063250,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:38.407 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.350000,359.748923,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.065750,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:38.508 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.400000,359.745946,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.068250,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:38.609 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.300000,359.746448,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.070750,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
