Time,RobotMode,LeftMotorValue,JoyOneAxis1,RightMotorValue,JoyOneAxis4,JoyOneAxis5,StrafeMotorValue,JoyTwoAxis1,ElevatorMotorValue,ElevatorAmperage,JoyTwoAxis5,PIDTarget, PIDCurrentValue,
PIDCurrentState,AutoStackState
04:18:43.701 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216750,2.250000,0.000000,560.000000,547.750000,PIDControl,Disabled
04:18:43.801 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.221928,2.250000,0.000000,560.000000,563.000000,PIDControl,Disabled
04:18:43.903 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.089466,2.250000,0.000000,560.000000,562.750000,PIDControl,Disabled
04:18:44.004 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.073044,2.250000,0.000000,560.000000,561.750000,PIDControl,Disabled
04:18:44.104 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.036342,2.250000,0.000000,560.000000,560.750000,PIDControl,Disabled
04:18:44.205 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009210,2.250000,0.000000,560.000000,560.250000,PIDControl,Disabled
04:18:44.305 PM 02/22/2015,Autonomous Enabled,0.250000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,-0.000558,2.250000,0.000000,560.000000,560.000000,PIDControl,Disabled
04:18:44.406 PM 02/22/2015,Autonomous Enabled,0.250000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.008514,2.250000,0.000000,560.000000,559.750000,PIDControl,Disabled
04:18:44.507 PM 02/22/2015,Autonomous Enabled,0.250000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.017658,2.250000,0.000000,560.000000,559.500000,PIDControl,Disabled
04:18:44.608 PM 02/22/2015,Autonomous Enabled,0.250000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.017838,2.250000,0.000000,560.000000,559.250000,PIDControl,Disabled
04:18:44.710 PM 02/22/2015,Autonomous Enabled,0.250000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.027108,2.250000,0.000000,560.000000,559.250000,PIDControl,Disabled
04:18:44.810 PM 02/22/2015,Autonomous Enabled,0.256156,0.000000,0.243844,0.000000,0.000000,0.000000,0.000000,0.036414,2.250000,0.000000,560.000000,559.000000,PIDControl,Disabled
04:18:44.912 PM 02/22/2015,Autonomous Enabled,0.256368,0.000000,0.243632,0.000000,0.000000,0.000000,0.000000,0.036774,2.250000,0.000000,560.000000,559.000000,PIDControl,Disabled
04:18:45.012 PM 02/22/2015,Autonomous Enabled,0.256972,0.000000,0.243028,0.000000,0.000000,0.000000,0.000000,0.036000,2.250000,0.000000,560.000000,559.000000,PIDControl,Disabled
04:18:45.113 PM 02/22/2015,Autonomous Enabled,0.257058,0.000000,0.242942,0.000000,0.000000,0.000000,0.000000,0.036360,2.250000,0.000000,560.000000,559.000000,PIDControl,Disabled
04:18:45.213 PM 02/22/2015,Autonomous Enabled,0.257668,0.000000,0.242332,0.000000,0.000000,0.000000,0.000000,0.045756,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:45.314 PM 02/22/2015,Autonomous Enabled,0.256400,0.000000,0.243600,0.000000,0.000000,0.000000,0.000000,0.045090,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:45.414 PM 02/22/2015,Autonomous Enabled,0.256164,0.000000,0.243836,0.000000,0.000000,0.000000,0.000000,0.045540,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:45.514 PM 02/22/2015,Autonomous Enabled,0.255492,0.000000,0.244508,0.000000,0.000000,0.000000,0.000000,0.045990,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:45.614 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045270,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:45.716 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045720,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:45.817 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045000,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:45.918 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045450,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:46.018 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045900,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:46.119 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045180,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:46.220 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045630,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:46.321 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046080,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:46.421 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045360,2.250000,0.000000,560.000000,558.750000,PIDControl,Disabled
04:18:46.523 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.700000,2.250000,0.000000,50.000000,556.250000,PIDControl,Disabled
04:18:46.624 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.700000,2.250000,0.000000,50.000000,539.750000,PIDControl,Disabled
04:18:46.724 PM 02/22/2015,Autonomous Enabled,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.700000,2.250000,0.000000,50.000000,514.750000,PIDControl,Disabled
