Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
05:27:16.133 PM 02/28/2015,Autonomous Enabled,0.000000,14.000000,13.000000,0.047602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,0.000000
05:27:16.235 PM 02/28/2015,Autonomous Enabled,0.000000,20.000000,12.700000,0.056034,0.000000,0.000000,0.000000,0.000000,0.000000,-2.250000,TRUE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,16.343750
05:27:16.336 PM 02/28/2015,Autonomous Enabled,0.000000,19.000000,12.700000,0.045490,0.000000,0.000000,0.000000,0.000000,0.000000,-16.500000,FALSE,0.150000,8.625000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.656250
05:27:16.436 PM 02/28/2015,Autonomous Enabled,0.000000,21.000000,12.650000,0.058225,0.000000,0.000000,0.000000,0.000000,0.000000,-15.000000,FALSE,0.150000,2.625000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.375000
05:27:16.536 PM 02/28/2015,Autonomous Enabled,0.000000,21.000000,12.700000,0.067115,0.000000,0.000000,0.000000,0.000000,0.000000,-13.000000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.375000
05:27:16.637 PM 02/28/2015,Autonomous Enabled,0.000000,20.000000,12.700000,0.059657,0.000000,0.000000,0.000000,0.000000,0.000000,-11.000000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.281250
05:27:16.738 PM 02/28/2015,Autonomous Enabled,0.000000,20.000000,12.700000,0.057244,0.000000,0.000000,0.000000,0.000000,0.000000,-9.250000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.312500
05:27:16.839 PM 02/28/2015,Autonomous Enabled,0.000000,20.000000,12.700000,0.060450,0.000000,0.000000,0.000000,0.000000,0.000000,-7.000000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.281250
05:27:16.940 PM 02/28/2015,Autonomous Enabled,0.000000,20.000000,12.700000,0.058451,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.312500
05:27:17.041 PM 02/28/2015,Autonomous Enabled,0.000000,21.000000,12.700000,0.055251,0.000000,0.000000,0.000000,0.000000,0.000000,-3.000000,TRUE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.312500
05:27:17.143 PM 02/28/2015,Autonomous Enabled,0.000000,20.000000,12.700000,0.048149,0.000000,0.000000,0.000000,0.000000,0.000000,-0.750000,TRUE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.406250
05:27:17.245 PM 02/28/2015,Autonomous Enabled,0.000000,20.000000,12.700000,0.054534,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,TRUE,-0.045804,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.281250
05:27:17.346 PM 02/28/2015,Autonomous Enabled,0.000000,20.000000,12.700000,0.060071,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,TRUE,0.027624,2.250000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.406250
05:27:17.448 PM 02/28/2015,Autonomous Enabled,0.000000,20.000000,12.650000,0.058454,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,TRUE,0.018054,2.250000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.312500
05:27:17.548 PM 02/28/2015,Autonomous Enabled,0.000000,20.000000,12.650000,0.063379,0.000000,0.000000,0.000000,0.039270,0.000000,-0.500000,TRUE,0.018234,2.250000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.312500
05:27:17.648 PM 02/28/2015,Autonomous Enabled,0.000000,19.000000,12.750000,0.056964,0.000000,0.000000,0.000000,0.039270,0.000000,-0.500000,TRUE,0.018414,2.250000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.281250
05:27:17.748 PM 02/28/2015,Autonomous Enabled,0.000000,19.000000,12.700000,0.060081,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,TRUE,0.018594,2.250000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.218750
05:27:17.850 PM 02/28/2015,Autonomous Enabled,0.000000,21.000000,12.700000,0.067016,0.000000,0.000000,0.000000,0.039270,560.000000,3.250000,FALSE,0.950000,2.250000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.312500
05:27:17.953 PM 02/28/2015,Autonomous Enabled,0.000000,20.000000,12.500000,0.065266,0.000000,0.000000,0.000000,0.000000,560.000000,30.750000,FALSE,0.950000,23.500000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.406250
