Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage, ErrorStatus, ErrorCode, ErrorSource
09:04:26.503 PM 04/22/2015,Autonomous Enabled,10.000000,28.000000,12.900000,2.138284,0.000000,0.000000,0.000000,0.039270,0.000000,0.250000,TRUE,0.300000,0.000000,TRUE,TRUE,ResetBack,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:26.603 PM 04/22/2015,Autonomous Enabled,10.000000,19.000000,12.800000,2.142311,0.000000,0.000000,0.000000,0.039270,0.000000,2.000000,TRUE,0.300000,4.500000,TRUE,TRUE,ResetBack,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:26.703 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.800000,2.114536,0.000000,0.000000,0.000000,0.039270,0.000000,2.250000,TRUE,0.300000,2.750000,TRUE,TRUE,ResetBack,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:26.804 PM 04/22/2015,Autonomous Enabled,10.000000,21.000000,12.800000,2.116249,0.000000,0.039270,0.000000,0.039270,0.000000,2.500000,TRUE,-0.038000,2.375000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:26.904 PM 04/22/2015,Autonomous Enabled,10.000000,16.000000,12.900000,2.113258,0.000000,0.039270,0.000000,0.039270,0.000000,-0.750000,TRUE,0.002000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:27.004 PM 04/22/2015,Autonomous Enabled,10.000000,19.000000,12.900000,2.123683,0.000000,0.039270,0.000000,0.039270,0.000000,-3.000000,TRUE,0.084750,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:27.105 PM 04/22/2015,Autonomous Enabled,10.000000,15.000000,12.850000,2.135287,0.000000,0.039270,0.000000,0.039270,0.000000,-2.750000,TRUE,0.100750,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:27.205 PM 04/22/2015,Autonomous Enabled,10.000000,16.000000,12.900000,2.227733,0.000000,0.000000,0.000000,0.039270,0.000000,-2.500000,TRUE,0.128250,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:27.305 PM 04/22/2015,Autonomous Enabled,10.000000,15.000000,12.850000,2.233263,0.500000,0.039270,0.500000,0.078540,0.000000,-1.500000,TRUE,0.117000,1.625000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:27.406 PM 04/22/2015,Autonomous Enabled,10.000000,15.000000,11.850000,359.986062,0.500000,0.549779,0.500000,0.510509,0.000000,-1.000000,TRUE,0.115500,0.875000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,17.468750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:27.506 PM 04/22/2015,Autonomous Enabled,10.000000,16.000000,11.950000,0.002358,0.500000,1.963495,0.500000,2.002765,0.000000,-0.750000,TRUE,0.125500,1.625000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:27.606 PM 04/22/2015,Autonomous Enabled,10.000000,32.000000,12.150000,359.803282,0.500000,3.887721,0.500000,4.005531,0.000000,-0.750000,TRUE,0.124750,1.750000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:27.707 PM 04/22/2015,Autonomous Enabled,10.000000,18.000000,12.250000,359.872144,0.500000,7.225663,0.500000,7.382743,0.000000,-0.750000,TRUE,0.130750,1.125000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.500000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:27.807 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.250000,359.981239,0.500000,10.210176,0.500000,10.406526,0.000000,0.000000,TRUE,0.117000,1.500000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:27.907 PM 04/22/2015,Autonomous Enabled,10.000000,19.000000,12.200000,0.123898,0.498389,13.430309,0.501611,13.587388,0.000000,0.750000,TRUE,0.105500,1.750000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:28.007 PM 04/22/2015,Autonomous Enabled,10.000000,19.000000,12.300000,359.869403,0.502385,16.611171,0.497615,16.925330,0.000000,0.750000,TRUE,0.094250,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:28.108 PM 04/22/2015,Autonomous Enabled,10.000000,21.000000,12.300000,359.621716,0.504918,20.027653,0.495082,20.381082,0.000000,0.750000,TRUE,0.086750,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:28.208 PM 04/22/2015,Autonomous Enabled,10.000000,21.000000,12.350000,359.503424,0.506971,23.522675,0.493029,23.915374,0.000000,0.750000,TRUE,0.079250,1.500000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:28.308 PM 04/22/2015,Autonomous Enabled,10.000000,19.000000,12.350000,359.304741,0.509634,27.096237,0.490366,27.646015,0.000000,0.750000,TRUE,0.071750,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:28.408 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.300000,358.968700,0.513907,30.748338,0.486093,31.494466,0.000000,0.750000,TRUE,0.064250,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:28.508 PM 04/22/2015,Autonomous Enabled,10.000000,19.000000,12.250000,358.854413,0.514891,34.518249,0.485109,35.264378,0.000000,0.750000,TRUE,0.056750,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.687500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:28.609 PM 04/22/2015,Autonomous Enabled,10.000000,19.000000,12.350000,358.869651,0.514659,38.170351,0.485341,38.916479,0.000000,0.750000,TRUE,0.049250,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:28.710 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.200000,358.887544,0.514741,41.783182,0.485259,42.490041,0.000000,0.750000,TRUE,0.041750,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:28.810 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.200000,358.917372,0.513579,45.396014,0.486421,46.338492,0.000000,0.500000,TRUE,0.034250,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:28.910 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.250000,359.003426,0.512820,48.969575,0.487180,49.676434,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:29.010 PM 04/22/2015,Autonomous Enabled,10.000000,21.000000,12.250000,358.968269,0.513390,52.700217,0.486610,53.407075,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.781250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:29.110 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.250000,358.942388,0.513654,56.548668,0.486346,57.255526,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.781250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:29.210 PM 04/22/2015,Autonomous Enabled,10.000000,21.000000,12.250000,359.043140,0.512320,60.318579,0.487680,60.946897,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.875000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:29.311 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.200000,358.939384,0.514447,63.970680,0.485553,64.756079,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.812500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:29.411 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.200000,358.641703,0.518185,67.622782,0.481815,68.565260,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.812500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:29.511 PM 04/22/2015,Autonomous Enabled,10.000000,21.000000,12.300000,358.560847,0.518647,71.431963,0.481353,72.374441,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.875000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:29.611 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.250000,358.637475,0.517461,75.201874,0.482539,76.105082,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.812500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:29.711 PM 04/22/2015,Autonomous Enabled,10.000000,21.000000,12.200000,358.739228,0.516123,78.971785,0.483877,79.796453,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.812500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:29.811 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.300000,358.814915,0.515429,82.702427,0.484571,83.527095,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.875000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:29.912 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.200000,358.692166,0.517328,86.433068,0.482672,87.297006,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.906250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:30.013 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.250000,358.706518,0.516012,90.281519,0.483988,91.106187,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.812500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:30.113 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.300000,359.043041,0.511735,94.090700,0.488265,94.719019,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.875000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:30.214 PM 04/22/2015,Autonomous Enabled,10.000000,21.000000,12.200000,359.327050,0.507805,97.978421,0.492195,98.449660,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.781250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:30.314 PM 04/22/2015,Autonomous Enabled,10.000000,20.000000,12.200000,359.656699,0.504065,101.826872,0.495935,102.219571,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.812500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:30.414 PM 04/22/2015,Autonomous Enabled,10.000000,27.000000,12.200000,359.602125,0.504470,105.910942,0.495530,106.382181,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.812500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:30.515 PM 04/22/2015,Autonomous Enabled,10.000000,24.000000,12.200000,359.876779,0.000000,109.720123,0.000000,110.191362,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.875000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:30.615 PM 04/22/2015,Autonomous Enabled,10.000000,23.000000,12.350000,359.709288,0.000000,111.958508,0.000000,112.469017,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.031250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:30.715 PM 04/22/2015,Autonomous Enabled,10.000000,23.000000,12.400000,359.545827,0.000000,113.097336,0.000000,113.725654,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:30.816 PM 04/22/2015,Autonomous Enabled,10.000000,23.000000,12.400000,359.299128,0.000000,113.647114,0.000000,114.314703,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:30.916 PM 04/22/2015,Autonomous Enabled,10.000000,22.000000,12.400000,359.322258,0.000000,113.882734,0.000000,114.589592,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
09:04:31.016 PM 04/22/2015,Autonomous Enabled,10.000000,21.000000,12.400000,0.006836,-0.500000,0.000000,-0.500000,0.000000,0.000000,0.000000,TRUE,0.044000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
