Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
03:37:04.470 PM 02/28/2015,Teleop Enabled,0.000000,22.000000,11.950000,0.132050,-0.000000,0.000000,0.000000,0.000000,0.000000,-12.500000,FALSE,-0.500000,9.125000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,6.875000
03:37:04.570 PM 02/28/2015,Teleop Enabled,0.000000,24.000000,12.100000,0.135129,-0.000000,0.000000,0.000000,0.000000,0.000000,-32.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,10.437500
03:37:04.672 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.050000,0.133533,-0.000000,0.000000,0.000000,0.000000,0.000000,-51.250000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:04.773 PM 02/28/2015,Teleop Enabled,0.000000,30.000000,12.100000,0.130604,-0.000000,0.000000,0.000000,0.000000,0.000000,-73.250000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.718750
03:37:04.873 PM 02/28/2015,Teleop Enabled,0.000000,30.000000,12.050000,0.142423,-0.000000,0.000000,0.000000,0.000000,0.000000,-93.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.593750
03:37:04.975 PM 02/28/2015,Teleop Enabled,0.000000,12.000000,12.050000,0.136992,-0.000000,0.000000,0.000000,0.000000,0.000000,-115.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.718750
03:37:05.076 PM 02/28/2015,Teleop Enabled,0.000000,13.000000,12.050000,0.131643,-0.000000,0.000000,0.000000,0.000000,0.000000,-135.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.718750
03:37:05.177 PM 02/28/2015,Teleop Enabled,0.000000,9.000000,12.100000,0.145065,-0.000000,0.000000,0.000000,0.000000,0.000000,-155.000000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:05.277 PM 02/28/2015,Teleop Enabled,0.000000,10.000000,12.050000,0.135540,-0.000000,0.000000,0.000000,0.000000,0.000000,-174.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.593750
03:37:05.379 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.050000,0.145790,-0.000000,0.000000,0.000000,0.000000,0.000000,-194.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:05.480 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.100000,0.160932,-0.000000,0.000000,0.000000,0.000000,0.000000,-214.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.718750
03:37:05.583 PM 02/28/2015,Teleop Enabled,0.000000,8.000000,12.100000,0.145612,-0.000000,0.000000,0.000000,0.039270,0.000000,-234.000000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.593750
03:37:05.683 PM 02/28/2015,Teleop Enabled,0.000000,21.000000,12.100000,0.157688,-0.000000,0.000000,0.000000,0.000000,0.000000,-253.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:05.784 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.100000,0.152380,-0.000000,0.000000,0.000000,0.039270,0.000000,-273.250000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:05.890 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.050000,0.172464,-0.000000,0.000000,0.000000,0.000000,0.000000,-292.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:05.991 PM 02/28/2015,Teleop Enabled,0.000000,22.000000,12.000000,0.203926,-0.000000,0.000000,0.000000,0.000000,0.000000,-312.250000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:06.093 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.000000,0.183388,-0.000000,0.000000,0.000000,0.000000,0.000000,-335.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:06.196 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.000000,0.220353,-0.000000,0.000000,0.000000,0.000000,0.000000,-355.000000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.593750
03:37:06.297 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.000000,0.216785,-0.000000,0.000000,0.000000,0.000000,0.000000,-374.750000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:06.397 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.000000,0.221652,-0.000000,0.000000,0.000000,0.000000,0.000000,-393.750000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:06.498 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.050000,0.232008,-0.000000,0.000000,0.000000,0.000000,0.000000,-413.250000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:06.599 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.050000,0.238841,-0.000000,0.000000,0.000000,0.000000,0.000000,-432.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:06.700 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.050000,0.224899,-0.000000,0.000000,0.000000,0.000000,0.000000,-452.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:06.801 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.100000,0.226003,-0.000000,0.000000,0.000000,0.000000,0.000000,-472.250000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:06.902 PM 02/28/2015,Teleop Enabled,0.000000,18.000000,12.050000,0.233167,-0.000000,0.000000,0.000000,0.000000,0.000000,-491.250000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:07.002 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.000000,0.243315,-0.000000,0.000000,0.000000,0.000000,0.000000,-510.750000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.593750
03:37:07.102 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,11.950000,0.243366,-0.000000,0.000000,0.000000,0.000000,0.000000,-530.250000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.593750
03:37:07.203 PM 02/28/2015,Teleop Enabled,0.000000,18.000000,12.000000,0.245680,-0.000000,0.000000,0.000000,0.000000,0.000000,-550.000000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:07.304 PM 02/28/2015,Teleop Enabled,0.000000,11.000000,11.950000,0.230720,-0.000000,0.000000,0.000000,0.000000,0.000000,-569.250000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:07.405 PM 02/28/2015,Teleop Enabled,0.000000,9.000000,12.000000,0.234968,-0.000000,0.000000,0.000000,0.000000,0.000000,-588.750000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:07.505 PM 02/28/2015,Teleop Enabled,0.000000,17.000000,12.000000,0.237576,-0.000000,0.000000,0.000000,0.000000,0.000000,-609.750000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
03:37:07.606 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.000000,0.241442,-0.000000,0.000000,0.000000,0.000000,0.000000,-628.750000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.656250
