Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage, ErrorStatus, ErrorCode, ErrorSource
07:05:48.329 PM 04/22/2015,Teleop Enabled,0.000000,20.000000,13.000000,0.898892,0.000000,0.000000,0.000000,-0.274889,-15.750000,-15.750000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,4.281250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:05:48.429 PM 04/22/2015,Teleop Enabled,0.000000,20.000000,12.750000,0.894626,-0.000000,0.000000,0.000000,-0.274889,-15.750000,-15.750000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,11.125000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:05:48.531 PM 04/22/2015,Teleop Enabled,0.000000,21.000000,12.750000,0.898457,-0.000000,0.000000,0.000000,-0.235619,-15.750000,-15.750000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.187500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:05:48.631 PM 04/22/2015,Teleop Enabled,0.000000,16.000000,12.700000,0.908530,-0.000000,0.000000,0.000000,-0.235619,-15.750000,-15.750000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.250000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:05:48.732 PM 04/22/2015,Teleop Enabled,0.000000,21.000000,12.750000,0.904124,-0.000000,0.000000,0.000000,-0.274889,-15.750000,-15.750000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.281250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:05:48.832 PM 04/22/2015,Teleop Enabled,0.000000,19.000000,12.750000,0.907806,-0.000000,0.000000,0.000000,-0.274889,-15.750000,-15.750000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.281250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:05:48.932 PM 04/22/2015,Teleop Enabled,0.000000,19.000000,12.700000,0.914101,-0.000000,0.000000,0.000000,-0.274889,-15.750000,-15.750000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.281250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:05:49.032 PM 04/22/2015,Teleop Enabled,0.000000,21.000000,12.700000,0.899288,-0.000000,0.000000,0.000000,-0.274889,-15.750000,-15.750000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.343750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:05:49.133 PM 04/22/2015,Teleop Enabled,0.000000,20.000000,12.750000,0.903239,-0.000000,0.000000,0.000000,-0.274889,-15.750000,-15.750000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.281250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:05:49.233 PM 04/22/2015,Teleop Enabled,0.000000,20.000000,12.750000,0.898680,-0.000000,0.000000,0.000000,-0.274889,-15.750000,-15.750000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.343750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
