Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
12:09:18.159 PM 03/28/2015,Teleop Enabled,0.000000,19.000000,12.750000,12.550342,-0.000000,16.807521,0.000000,14.844025,-0.250000,-0.250000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000
12:09:18.260 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.450000,12.558293,-0.000000,16.807521,0.000000,14.844025,-0.250000,-0.250000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.468750
12:09:18.361 PM 03/28/2015,Teleop Enabled,0.000000,19.000000,12.500000,12.563847,-0.000000,16.807521,0.000000,14.844025,-0.250000,-0.250000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.531250
12:09:18.462 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.550000,12.565272,-0.000000,16.807521,0.000000,14.844025,-0.250000,-0.250000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.000000
12:09:18.563 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,11.650000,12.567849,-0.000000,16.807521,0.000000,14.844025,-1.000000,-10.750000,FALSE,-0.900000,23.125000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,5.343750
12:09:18.664 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.400000,12.585592,-0.000000,16.807521,0.000000,14.844025,-1.000000,-51.500000,FALSE,-0.900000,8.375000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,6.343750
12:09:18.765 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.450000,12.577314,-0.000000,16.807521,0.000000,14.844025,-1.000000,-96.250000,FALSE,-0.900000,0.000000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,6.156250
12:09:18.867 PM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.450000,12.593108,-0.000000,16.807521,0.000000,14.844025,-1.000000,-150.000000,FALSE,-0.900000,0.000000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,6.093750
12:09:18.968 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.450000,12.612385,-0.000000,16.807521,0.000000,14.844025,-1.000000,-194.500000,FALSE,-0.900000,0.000000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,6.156250
12:09:19.069 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.450000,12.616613,-0.000000,16.807521,0.000000,14.844025,-1.000000,-239.500000,FALSE,-0.900000,0.000000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,6.187500
12:09:19.170 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.450000,12.618299,-0.000000,16.807521,0.000000,14.844025,-1.000000,-283.500000,FALSE,-0.900000,0.000000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,6.250000
12:09:19.271 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.350000,12.621528,0.143307,16.886061,-0.143307,14.726216,-1.000000,-328.500000,FALSE,-0.900000,0.000000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,6.250000
12:09:19.372 PM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.450000,12.889200,-0.000000,16.846791,0.000000,14.608406,-1.000000,-373.000000,FALSE,-0.900000,0.000000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,6.375000
