Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage, ErrorStatus, ErrorCode, ErrorSource
08:45:20.632 PM 04/22/2015,Teleop Enabled,0.000000,27.000000,12.800000,351.748214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.300000,0.000000,TRUE,TRUE,ResetBack,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:45:20.733 PM 04/22/2015,Teleop Enabled,0.000000,21.000000,12.700000,351.746598,-0.000000,0.000000,0.000000,0.000000,0.000000,2.250000,TRUE,0.300000,3.500000,TRUE,TRUE,ResetBack,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:45:20.833 PM 04/22/2015,Teleop Enabled,0.000000,22.000000,12.750000,351.725006,-0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,TRUE,0.300000,2.500000,TRUE,TRUE,ResetBack,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:45:20.932 PM 04/22/2015,Teleop Enabled,0.000000,20.000000,12.750000,351.712148,-0.000000,0.000000,0.000000,0.000000,0.000000,2.250000,TRUE,-0.033750,3.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:45:21.033 PM 04/22/2015,Teleop Enabled,0.000000,27.000000,12.800000,351.690498,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,TRUE,-0.009500,1.875000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:45:21.133 PM 04/22/2015,Teleop Enabled,0.000000,32.000000,12.800000,351.692522,-0.000000,0.000000,0.000000,0.000000,0.000000,-2.500000,TRUE,0.073000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:45:21.233 PM 04/22/2015,Teleop Enabled,0.000000,20.000000,12.850000,351.684425,-0.000000,0.000000,0.000000,0.000000,0.000000,-2.500000,TRUE,0.086000,0.875000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:45:21.334 PM 04/22/2015,Teleop Enabled,0.000000,28.000000,12.800000,351.670732,-0.000000,0.000000,0.000000,0.000000,0.000000,-2.500000,TRUE,0.106000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:45:21.435 PM 04/22/2015,Teleop Enabled,0.000000,25.000000,12.800000,351.682671,-0.000000,0.000000,0.000000,0.000000,0.000000,-2.250000,TRUE,0.131000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:45:21.536 PM 04/22/2015,Teleop Enabled,0.000000,20.000000,12.800000,351.645460,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.105000,1.500000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
