Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
02:00:00.405 PM 03/28/2015,Teleop Enabled,0.000000,19.000000,12.700000,2.074348,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250
02:00:00.506 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,13.000000,2.085668,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.031250
02:00:00.608 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,13.000000,2.085115,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.968750
02:00:00.709 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,13.050000,2.086413,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.968750
02:00:00.809 PM 03/28/2015,Teleop Enabled,0.000000,16.000000,13.050000,2.086704,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.875000
02:00:00.910 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,13.050000,2.098041,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.843750
02:00:01.011 PM 03/28/2015,Teleop Enabled,0.000000,21.000000,13.050000,2.104802,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.843750
02:00:01.111 PM 03/28/2015,Teleop Enabled,0.000000,19.000000,13.000000,2.112923,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.937500
02:00:01.211 PM 03/28/2015,Teleop Enabled,0.000000,17.000000,13.000000,2.119964,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.875000
02:00:01.313 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,13.000000,2.118204,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.031250
02:00:01.414 PM 03/28/2015,Teleop Enabled,0.000000,19.000000,13.000000,2.119393,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.031250
02:00:01.515 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,13.000000,2.134672,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.031250
02:00:01.616 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,13.000000,2.157309,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.031250
02:00:01.717 PM 03/28/2015,Teleop Enabled,0.000000,20.000000,13.000000,2.161715,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.062500
02:00:01.820 PM 03/28/2015,Teleop Enabled,0.000000,17.000000,13.000000,2.167194,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.031250
