Time,RobotMode,LeftMotorValue,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
08:08:21.408 PM 02/25/2015,Teleop Enabled,0.000000,18.000000,12.050000,359.949144,-0.000000,0.000000,0.000000,0.000000,360.000000,106.000000,FALSE,0.950000,6.750000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.375000
08:08:21.509 PM 02/25/2015,Teleop Enabled,0.000000,21.000000,12.050000,359.949120,-0.000000,0.000000,0.000000,0.000000,360.000000,137.750000,FALSE,0.950000,6.875000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.468750
08:08:21.610 PM 02/25/2015,Teleop Enabled,0.000000,20.000000,12.050000,359.926435,-0.000000,0.000000,0.000000,0.000000,360.000000,167.750000,FALSE,0.950000,6.750000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.406250
08:08:21.710 PM 02/25/2015,Teleop Enabled,0.000000,12.000000,12.050000,359.926493,-0.000000,0.000000,0.000000,0.000000,360.000000,197.750000,FALSE,0.950000,6.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.406250
08:08:21.811 PM 02/25/2015,Teleop Enabled,0.000000,10.000000,12.050000,359.919483,-0.000000,0.000000,0.000000,0.000000,360.000000,228.250000,FALSE,0.950000,6.500000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.406250
08:08:21.912 PM 02/25/2015,Teleop Enabled,0.000000,10.000000,12.050000,359.918270,-0.000000,0.000000,0.000000,0.000000,360.000000,258.250000,FALSE,0.950000,7.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.375000
08:08:22.013 PM 02/25/2015,Teleop Enabled,0.000000,14.000000,12.100000,359.906443,-0.000000,0.000000,0.000000,0.000000,360.000000,288.750000,FALSE,0.950000,6.125000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.375000
08:08:22.113 PM 02/25/2015,Teleop Enabled,0.000000,11.000000,12.050000,359.894016,-0.000000,0.000000,0.000000,0.000000,360.000000,318.500000,FALSE,0.908250,7.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.375000
08:08:22.214 PM 02/25/2015,Teleop Enabled,0.000000,8.000000,12.100000,359.890902,-0.000000,0.000000,0.000000,0.000000,360.000000,347.750000,FALSE,-0.198474,6.625000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.406250
08:08:22.316 PM 02/25/2015,Teleop Enabled,0.000000,18.000000,11.400000,359.891548,-0.000000,0.000000,0.000000,0.000000,180.000000,351.250000,FALSE,-0.700000,4.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.031250
