Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
08:32:37.146 PM 04/08/2015,Teleop Enabled,0.000000,20.000000,12.700000,359.955211,-0.000000,0.000000,0.000000,0.000000,0.000000,-10.000000,FALSE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,FALSE,0.968750
08:32:37.247 PM 04/08/2015,Teleop Enabled,0.000000,27.000000,12.400000,359.965003,-0.000000,0.000000,0.000000,0.000000,-1.000000,-11.000000,FALSE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,12.468750
08:32:37.348 PM 04/08/2015,Teleop Enabled,0.000000,21.000000,12.400000,359.944376,-0.000000,0.000000,0.000000,0.000000,-1.000000,-12.000000,FALSE,0.000000,4.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,8.843750
08:32:37.448 PM 04/08/2015,Teleop Enabled,0.000000,20.000000,12.350000,359.901460,-0.000000,0.000000,0.000000,0.000000,-1.000000,-12.500000,FALSE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,8.687500
08:32:37.550 PM 04/08/2015,Teleop Enabled,0.000000,11.000000,11.300000,359.892942,-0.000000,0.000000,0.000000,0.000000,-1.000000,-2.500000,FALSE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,8.375000
08:32:37.651 PM 04/08/2015,Teleop Enabled,0.000000,29.000000,12.400000,359.894190,-0.000000,0.000000,0.000000,0.000000,-1.000000,10.500000,FALSE,0.300000,25.750000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,8.843750
08:32:37.754 PM 04/08/2015,Teleop Enabled,0.000000,7.000000,12.350000,359.890123,-0.000000,0.000000,0.000000,0.000000,0.000000,-3.750000,TRUE,0.127750,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.656250
08:32:37.855 PM 04/08/2015,Teleop Enabled,0.000000,8.000000,12.350000,359.899819,-0.000000,0.000000,0.000000,0.000000,0.000000,-5.750000,FALSE,0.145100,4.875000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.750000
08:32:37.956 PM 04/08/2015,Teleop Enabled,0.000000,10.000000,12.400000,359.895373,-0.000000,0.000000,0.000000,0.000000,0.000000,-4.000000,FALSE,0.110950,1.875000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.843750
08:32:38.057 PM 04/08/2015,Teleop Enabled,0.000000,14.000000,12.350000,359.880713,-0.000000,0.000000,0.000000,0.000000,0.000000,-4.000000,FALSE,0.125200,1.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.781250
08:32:38.158 PM 04/08/2015,Teleop Enabled,0.000000,11.000000,12.350000,359.875504,-0.000000,0.000000,0.000000,0.000000,0.000000,-4.000000,FALSE,0.133200,1.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.875000
08:32:38.258 PM 04/08/2015,Teleop Enabled,0.000000,19.000000,12.300000,359.876133,-0.000000,0.000000,0.000000,0.000000,0.000000,-3.500000,FALSE,0.000000,1.750000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,8.843750
08:32:38.359 PM 04/08/2015,Teleop Enabled,0.000000,5.000000,12.300000,359.870927,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.750000,TRUE,0.032050,14.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.781250
08:32:38.459 PM 04/08/2015,Teleop Enabled,0.000000,13.000000,12.250000,359.872144,-0.000000,0.000000,0.000000,0.000000,0.000000,-2.000000,TRUE,0.059850,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.750000
08:32:38.561 PM 04/08/2015,Teleop Enabled,0.000000,18.000000,12.350000,359.867960,-0.000000,0.000000,0.000000,0.000000,0.000000,-2.000000,TRUE,0.057600,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.687500
08:32:38.661 PM 04/08/2015,Teleop Enabled,0.000000,11.000000,12.350000,359.864710,-0.000000,0.000000,0.000000,0.000000,-2.000000,-2.000000,TRUE,1.000000,0.000000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,8.843750
08:32:38.761 PM 04/08/2015,Teleop Enabled,0.000000,13.000000,11.550000,359.874731,-0.000000,0.000000,0.000000,0.000000,28.500000,28.500000,TRUE,1.000000,9.875000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,8.000000
08:32:38.863 PM 04/08/2015,Teleop Enabled,0.000000,20.000000,12.000000,359.877018,-0.000000,0.000000,0.000000,0.000000,28.500000,82.750000,FALSE,-0.800000,15.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.968750
08:32:38.964 PM 04/08/2015,Teleop Enabled,0.000000,13.000000,11.700000,359.865363,-0.000000,0.000000,0.000000,0.000000,28.500000,65.000000,FALSE,-0.800000,10.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.343750
08:32:39.066 PM 04/08/2015,Teleop Enabled,0.000000,19.000000,12.250000,359.874554,-0.000000,0.000000,0.000000,0.000000,28.500000,16.000000,FALSE,0.413250,8.375000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.062500
08:32:39.167 PM 04/08/2015,Teleop Enabled,0.000000,20.000000,12.000000,359.867188,-0.000000,0.000000,0.000000,0.000000,28.500000,20.500000,FALSE,0.132150,1.500000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.562500
08:32:39.268 PM 04/08/2015,Teleop Enabled,0.000000,35.000000,12.250000,359.868135,-0.000000,0.000000,0.000000,0.000000,28.500000,30.000000,TRUE,-0.046100,5.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.000000
08:32:39.369 PM 04/08/2015,Teleop Enabled,0.000000,27.000000,12.250000,359.869505,-0.000000,0.000000,0.000000,0.000000,28.500000,27.500000,TRUE,0.053100,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.875000
08:32:39.470 PM 04/08/2015,Teleop Enabled,0.000000,20.000000,12.250000,359.854846,-0.000000,0.000000,0.000000,0.000000,28.500000,27.500000,TRUE,0.055500,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.937500
08:32:39.576 PM 04/08/2015,Teleop Enabled,0.000000,9.000000,12.250000,359.848372,-0.000000,0.000000,0.000000,0.000000,28.500000,27.500000,TRUE,0.057100,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.968750
08:32:39.677 PM 04/08/2015,Teleop Enabled,0.000000,25.000000,12.250000,359.844400,-0.000000,0.000000,0.000000,0.000000,28.500000,27.500000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.000000
08:32:39.779 PM 04/08/2015,Teleop Enabled,0.000000,38.000000,12.200000,359.847408,-0.000000,0.000000,0.000000,0.000000,28.500000,14.750000,FALSE,-0.300000,2.125000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,8.937500
08:32:39.880 PM 04/08/2015,Teleop Enabled,0.000000,20.000000,12.300000,359.864563,-0.000000,0.000000,0.000000,0.000000,28.500000,-9.500000,FALSE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,8.968750
08:32:39.981 PM 04/08/2015,Teleop Enabled,0.000000,11.000000,12.100000,359.881831,-0.000000,0.000000,0.000000,0.000000,28.500000,-20.500000,FALSE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,8.875000
08:32:40.082 PM 04/08/2015,Teleop Enabled,0.000000,11.000000,12.350000,359.888055,-0.000000,0.000000,0.000000,0.000000,28.500000,-20.000000,FALSE,0.000000,3.500000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.062500
08:32:40.182 PM 04/08/2015,Teleop Enabled,0.000000,11.000000,12.250000,359.892290,-0.000000,0.000000,0.000000,0.000000,28.500000,-21.500000,FALSE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,8.968750
08:32:40.282 PM 04/08/2015,Teleop Enabled,0.000000,10.000000,12.250000,359.894829,-0.000000,0.000000,0.000000,0.000000,28.500000,-22.000000,FALSE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.000000
08:32:40.383 PM 04/08/2015,Teleop Enabled,0.000000,12.000000,12.300000,359.910196,-0.000000,0.000000,0.000000,0.000000,28.500000,-22.000000,FALSE,1.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,8.968750
08:32:40.483 PM 04/08/2015,Teleop Enabled,0.000000,12.000000,11.350000,359.922217,-0.000000,0.000000,0.000000,0.000000,28.500000,-4.000000,FALSE,1.000000,3.750000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,8.218750
