Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage, ErrorStatus, ErrorCode, ErrorSource
07:55:27.340 PM 04/15/2015,Autonomous Disabled,0.000000,19.000000,12.200000,358.468447,0.170866,0.000000,-0.170866,386.847865,0.000000,760.250000,TRUE,0.125875,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:27.440 PM 04/15/2015,Teleop Disabled,0.000000,20.000000,12.300000,359.991869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:27.540 PM 04/15/2015,Teleop Disabled,0.000000,21.000000,12.400000,359.962693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:27.641 PM 04/15/2015,Teleop Disabled,0.000000,14.000000,12.350000,0.098783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:27.740 PM 04/15/2015,Teleop Disabled,0.000000,18.000000,12.350000,359.939878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:27.841 PM 04/15/2015,Teleop Disabled,0.000000,20.000000,12.350000,359.990098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:27.940 PM 04/15/2015,Teleop Disabled,0.000000,20.000000,12.350000,359.730449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:28.040 PM 04/15/2015,Teleop Disabled,0.000000,21.000000,12.300000,359.585855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:28.140 PM 04/15/2015,Teleop Disabled,0.000000,20.000000,12.300000,359.302765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:28.240 PM 04/15/2015,Teleop Disabled,0.000000,20.000000,12.350000,359.022492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:28.340 PM 04/15/2015,Teleop Disabled,0.000000,20.000000,12.300000,358.619773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:28.440 PM 04/15/2015,Teleop Disabled,0.000000,20.000000,12.300000,358.553724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:28.540 PM 04/15/2015,Teleop Disabled,0.000000,19.000000,12.350000,358.514189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:28.640 PM 04/15/2015,Teleop Disabled,0.000000,16.000000,12.350000,358.670937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:28.740 PM 04/15/2015,Teleop Disabled,0.000000,20.000000,12.350000,359.067189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:28.840 PM 04/15/2015,Teleop Disabled,0.000000,21.000000,12.350000,359.315480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:28.941 PM 04/15/2015,Teleop Disabled,0.000000,19.000000,12.350000,359.465532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:29.041 PM 04/15/2015,Teleop Disabled,0.000000,19.000000,12.300000,359.883570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:29.142 PM 04/15/2015,Teleop Disabled,0.000000,20.000000,12.350000,0.225938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:29.241 PM 04/15/2015,Teleop Disabled,0.000000,20.000000,12.350000,0.339681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:29.341 PM 04/15/2015,Teleop Disabled,0.000000,20.000000,12.300000,0.443690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
07:55:29.441 PM 04/15/2015,Teleop Disabled,0.000000,20.000000,12.300000,0.489347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,-0.300000,0.000000,TRUE,TRUE,ResetForward,Disabled,TRUE,FALSE,0.000000,FALSE,0.000000,NO ERROR
