Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
11:54:22.520 AM 04/09/2015,Autonomous Enabled,10.000000,19.000000,13.250000,342.305078,0.000000,-0.353429,0.000000,-0.235619,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,FALSE,0.968750
11:54:22.621 AM 04/09/2015,Autonomous Enabled,10.000000,20.000000,13.200000,342.263550,0.000000,-0.353429,0.000000,-0.235619,-1.000000,-0.500000,TRUE,0.300000,0.000000,TRUE,FALSE,ResetBack,Disabled,FALSE,FALSE,0.968750
11:54:22.722 AM 04/09/2015,Autonomous Enabled,10.000000,20.000000,13.150000,342.209468,0.000000,-0.353429,0.000000,-0.235619,-1.000000,8.250000,FALSE,0.300000,4.000000,TRUE,FALSE,ResetBack,Disabled,FALSE,FALSE,0.968750
11:54:22.823 AM 04/09/2015,Autonomous Enabled,10.000000,20.000000,13.100000,342.211464,0.000000,-0.314159,0.000000,-0.196350,-1.000000,17.750000,FALSE,0.300000,3.750000,TRUE,FALSE,ResetBack,Disabled,FALSE,FALSE,0.968750
11:54:22.924 AM 04/09/2015,Autonomous Enabled,10.000000,20.000000,13.050000,342.196927,0.000000,-0.314159,0.000000,-0.196350,-1.000000,27.750000,FALSE,0.000000,2.375000,TRUE,TRUE,ZeroEncoderAndTarget,Disabled,FALSE,FALSE,0.968750
11:54:23.025 AM 04/09/2015,Autonomous Enabled,10.000000,20.000000,12.950000,342.188369,0.000000,-0.314159,0.000000,-0.196350,0.000000,-8.500000,TRUE,0.154000,3.625000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.968750
11:54:23.125 AM 04/09/2015,Autonomous Enabled,10.000000,21.000000,12.850000,342.164713,0.000000,-0.353429,0.000000,-0.196350,0.000000,-7.750000,FALSE,0.261375,6.375000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,0.968750
11:54:23.226 AM 04/09/2015,Autonomous Enabled,10.000000,19.000000,12.850000,342.188823,0.000000,-0.353429,0.000000,-0.235619,0.000000,-0.750000,TRUE,0.044250,6.750000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,14.437500
11:54:23.327 AM 04/09/2015,Autonomous Enabled,10.000000,21.000000,12.800000,342.081393,0.000000,-0.274889,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.065875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.187500
11:54:23.428 AM 04/09/2015,Autonomous Enabled,10.000000,21.000000,12.850000,342.069239,0.000000,-0.274889,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.068375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.250000
11:54:23.529 AM 04/09/2015,Autonomous Enabled,10.000000,20.000000,12.850000,342.052084,0.000000,-0.353429,0.000000,-0.235619,0.000000,-1.000000,TRUE,0.070875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.281250
11:54:23.630 AM 04/09/2015,Autonomous Enabled,10.000000,19.000000,12.800000,342.037031,0.000000,-0.314159,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.073375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.406250
11:54:23.731 AM 04/09/2015,Autonomous Enabled,10.000000,19.000000,12.850000,342.028729,0.000000,-0.314159,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.075875,0.875000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.375000
11:54:23.831 AM 04/09/2015,Autonomous Enabled,10.000000,19.000000,12.800000,342.022019,0.000000,-0.314159,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.078375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.468750
11:54:23.932 AM 04/09/2015,Autonomous Enabled,10.000000,19.000000,12.850000,342.031046,0.000000,-0.314159,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.080875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.468750
11:54:24.033 AM 04/09/2015,Autonomous Enabled,10.000000,19.000000,12.850000,342.036590,0.000000,-0.314159,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.083375,1.125000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.562500
11:54:24.134 AM 04/09/2015,Autonomous Enabled,10.000000,20.000000,12.750000,342.042968,0.000000,-0.314159,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.085875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.562500
11:54:24.235 AM 04/09/2015,Autonomous Enabled,10.000000,19.000000,12.800000,342.047702,0.000000,-0.314159,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.088375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.468750
11:54:24.336 AM 04/09/2015,Autonomous Enabled,10.000000,20.000000,12.750000,342.053075,0.000000,-0.314159,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.090875,1.125000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.593750
11:54:24.436 AM 04/09/2015,Autonomous Enabled,10.000000,21.000000,12.800000,342.056442,0.000000,-0.314159,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.093375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.500000
11:54:24.537 AM 04/09/2015,Autonomous Enabled,10.000000,27.000000,12.800000,342.056343,0.000000,-0.314159,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.095875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.562500
11:54:24.637 AM 04/09/2015,Autonomous Enabled,10.000000,20.000000,12.800000,342.047528,0.000000,-0.314159,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.098375,1.125000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.468750
11:54:24.738 AM 04/09/2015,Autonomous Enabled,10.000000,23.000000,12.750000,342.059627,0.000000,-0.314159,0.000000,-0.196350,0.000000,-1.000000,TRUE,0.100875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.687500
