Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
07:28:42.054 PM 04/09/2015,Autonomous Enabled,5.000000,19.000000,13.050000,1.806174,0.000000,-0.039270,0.000000,0.000000,-1.000000,0.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,6.062500
07:28:42.155 PM 04/09/2015,Autonomous Enabled,5.000000,20.000000,12.700000,1.799656,0.000000,-0.039270,0.000000,0.000000,-1.000000,0.250000,TRUE,0.300000,4.875000,TRUE,FALSE,ResetBack,Disabled,FALSE,TRUE,10.500000
07:28:42.255 PM 04/09/2015,Autonomous Enabled,5.000000,20.000000,12.650000,1.809667,0.000000,-0.039270,0.000000,0.000000,-1.000000,9.000000,FALSE,0.300000,2.875000,TRUE,FALSE,ResetBack,Disabled,FALSE,TRUE,9.875000
07:28:42.357 PM 04/09/2015,Autonomous Enabled,5.000000,20.000000,12.650000,1.816209,0.000000,-0.039270,0.000000,0.000000,-1.000000,18.250000,FALSE,0.300000,2.750000,TRUE,FALSE,ResetBack,Disabled,FALSE,TRUE,9.906250
07:28:42.459 PM 04/09/2015,Autonomous Enabled,5.000000,21.000000,12.650000,1.809548,0.000000,-0.039270,0.000000,0.000000,0.000000,1.500000,FALSE,-0.650000,4.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.906250
07:28:42.559 PM 04/09/2015,Autonomous Enabled,5.000000,21.000000,12.100000,1.818612,0.000000,0.000000,0.000000,0.000000,0.000000,-8.000000,FALSE,0.269500,22.375000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.812500
07:28:42.660 PM 04/09/2015,Autonomous Enabled,5.000000,19.000000,12.650000,1.830544,0.000000,-0.039270,0.000000,0.000000,0.000000,0.500000,TRUE,0.070250,4.375000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.187500
07:28:42.761 PM 04/09/2015,Autonomous Enabled,5.000000,20.000000,12.700000,1.839653,0.000000,-0.039270,0.000000,0.000000,0.000000,0.750000,TRUE,0.055750,1.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.093750
07:28:42.863 PM 04/09/2015,Autonomous Enabled,5.000000,20.000000,12.650000,1.853390,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,TRUE,0.048750,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.968750
07:28:42.965 PM 04/09/2015,Autonomous Enabled,5.000000,20.000000,12.700000,1.844107,0.000000,-0.039270,0.000000,0.000000,0.000000,0.750000,TRUE,0.041250,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.031250
07:28:43.066 PM 04/09/2015,Autonomous Enabled,5.000000,19.000000,12.700000,1.838764,0.000000,-0.039270,0.000000,0.000000,0.000000,0.250000,TRUE,0.041500,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.000000
07:28:43.167 PM 04/09/2015,Autonomous Enabled,5.000000,19.000000,12.700000,1.818530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.054000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.031250
07:28:43.268 PM 04/09/2015,Autonomous Enabled,5.000000,20.000000,12.700000,1.792994,0.000000,-0.039270,0.000000,0.000000,0.000000,0.000000,TRUE,0.054000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.000000
07:28:43.369 PM 04/09/2015,Autonomous Enabled,5.000000,20.000000,12.700000,1.796430,0.000000,-0.039270,0.000000,0.000000,0.000000,0.000000,TRUE,0.054000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.968750
07:28:43.470 PM 04/09/2015,Autonomous Enabled,5.000000,19.000000,12.650000,1.801680,0.000000,-0.039270,0.000000,0.000000,0.000000,0.000000,TRUE,0.054000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.031250
07:28:43.571 PM 04/09/2015,Autonomous Enabled,5.000000,20.000000,12.700000,1.782416,0.000000,-0.039270,0.000000,0.000000,0.000000,0.000000,TRUE,0.054000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.000000
07:28:43.672 PM 04/09/2015,Autonomous Enabled,5.000000,19.000000,12.600000,1.798217,0.000000,-0.039270,0.000000,0.000000,0.000000,0.000000,TRUE,0.054000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.031250
07:28:43.773 PM 04/09/2015,Autonomous Enabled,5.000000,20.000000,12.650000,1.788008,0.000000,-0.039270,0.000000,0.000000,0.000000,0.000000,TRUE,0.054000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.000000
07:28:43.875 PM 04/09/2015,Autonomous Enabled,5.000000,20.000000,12.700000,1.773468,0.000000,-0.039270,0.000000,0.000000,0.000000,0.000000,TRUE,0.054000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.000000
07:28:43.977 PM 04/09/2015,Autonomous Enabled,5.000000,20.000000,12.650000,1.771933,0.000000,-0.039270,0.000000,0.000000,0.000000,0.000000,TRUE,0.054000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,10.031250
07:28:44.078 PM 04/09/2015,Autonomous Enabled,5.000000,21.000000,12.650000,1.769376,0.000000,-0.039270,0.000000,0.000000,0.000000,0.000000,TRUE,0.054000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.968750
