Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
02:39:15.504 PM 04/09/2015,Teleop Enabled,0.000000,23.000000,12.200000,0.219249,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,6.718750
02:39:15.605 PM 04/09/2015,Teleop Enabled,0.000000,20.000000,12.550000,0.229701,-0.000000,0.000000,0.000000,0.000000,-1.000000,-0.500000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.875000
02:39:15.706 PM 04/09/2015,Teleop Enabled,0.000000,6.000000,12.700000,0.226341,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,4.125000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.343750
02:39:15.806 PM 04/09/2015,Teleop Enabled,0.000000,19.000000,12.650000,0.229985,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.187500
02:39:15.907 PM 04/09/2015,Teleop Enabled,0.000000,20.000000,12.600000,0.222964,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.250000
02:39:16.007 PM 04/09/2015,Teleop Enabled,0.000000,19.000000,12.650000,0.220196,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.250000
02:39:16.109 PM 04/09/2015,Teleop Enabled,0.000000,19.000000,12.600000,0.223002,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.375000
02:39:16.210 PM 04/09/2015,Teleop Enabled,0.000000,19.000000,12.550000,0.234158,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.281250
02:39:16.310 PM 04/09/2015,Teleop Enabled,0.000000,19.000000,12.650000,0.227685,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.406250
02:39:16.410 PM 04/09/2015,Teleop Enabled,0.000000,18.000000,12.600000,0.215759,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.406250
02:39:16.511 PM 04/09/2015,Teleop Enabled,0.000000,16.000000,12.600000,0.211432,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.468750
02:39:16.613 PM 04/09/2015,Teleop Enabled,0.000000,13.000000,12.650000,0.215284,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.500000
02:39:16.714 PM 04/09/2015,Teleop Enabled,0.000000,11.000000,12.600000,0.217974,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.500000
02:39:16.815 PM 04/09/2015,Teleop Enabled,0.000000,21.000000,12.650000,0.214983,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.562500
02:39:16.916 PM 04/09/2015,Teleop Enabled,0.000000,20.000000,12.600000,0.232001,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.656250
02:39:17.016 PM 04/09/2015,Teleop Enabled,0.000000,31.000000,12.600000,0.222106,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.656250
02:39:17.117 PM 04/09/2015,Teleop Enabled,0.000000,20.000000,12.550000,0.224707,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.593750
02:39:17.218 PM 04/09/2015,Teleop Enabled,0.000000,18.000000,12.500000,0.228184,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.687500
02:39:17.319 PM 04/09/2015,Teleop Enabled,0.000000,19.000000,12.550000,0.215968,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.750000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,9.656250
